age,annual_income,existing_debt,credit_history_years,num_late_payments,loan_amount,employment_years,num_credit_lines,debt_to_income_ratio,creditworthy
38,62936.77,32666.55,20,0,12357.48,6,12,0.519,1
24,85290.35,0.0,11,4,38510.57,7,3,0.0,1
45,70461.66,7155.09,27,2,2961.47,18,5,0.102,1
34,42933.53,26446.06,18,2,21373.71,16,7,0.616,0
29,23263.77,17097.13,6,1,18697.67,10,5,0.735,0
46,52314.64,24280.45,5,3,29922.06,10,6,0.464,0
22,51815.52,20428.28,7,3,18751.89,1,2,0.394,0
40,35616.01,29695.83,12,1,1000.0,3,8,0.834,0
48,66020.75,17954.27,4,2,16986.59,27,5,0.272,1
27,91932.53,21634.48,1,0,8334.05,32,6,0.235,1
64,59445.65,7757.53,8,3,20954.95,10,1,0.13,1
28,58209.52,20863.33,29,0,37210.12,2,10,0.358,1
55,36255.44,11038.74,10,2,1000.0,4,2,0.304,0
34,82948.29,10468.94,23,1,10397.33,20,11,0.126,1
37,53497.12,23947.24,5,0,13367.68,21,4,0.448,1
56,43420.73,24016.23,28,1,15420.43,10,11,0.553,0
60,56273.77,31884.42,25,3,28881.51,21,9,0.567,0
24,64439.23,31232.63,6,1,17917.47,12,6,0.485,0
22,57784.31,24173.15,24,0,24989.63,2,8,0.418,1
26,79123.07,0.0,6,3,12490.72,12,2,0.0,1
62,62679.43,33276.81,18,0,22759.09,27,10,0.531,1
24,49321.16,24179.68,5,0,29333.57,10,5,0.49,1
49,63023.84,7341.4,10,2,11212.41,10,12,0.116,1
38,64992.74,22289.09,28,1,29376.3,20,12,0.343,1
46,29072.48,4627.34,10,1,20628.47,20,13,0.159,1
64,77988.39,21186.3,6,1,32545.52,6,1,0.272,1
54,48981.92,1837.3,1,1,17582.96,16,4,0.038,1
30,49493.54,6917.82,18,3,24574.94,13,10,0.14,0
56,70027.52,22099.29,3,1,19512.73,32,1,0.316,1
34,69943.3,25728.87,25,2,18845.45,10,11,0.368,0
51,40983.37,18254.37,5,0,23107.17,12,11,0.445,0
35,71058.03,12138.31,16,2,26441.69,0,9,0.171,1
28,43791.04,0.0,24,1,5005.22,33,2,0.0,1
34,91391.46,12909.79,4,0,37203.6,8,7,0.141,1
43,38436.12,20334.85,28,1,1000.0,12,3,0.529,0
60,59789.55,11832.35,27,2,11782.25,29,14,0.198,1
41,39359.65,14774.22,29,1,18868.77,6,2,0.375,0
36,99453.91,13143.83,6,1,24948.27,13,13,0.132,1
38,30243.58,11782.94,8,1,38914.07,5,4,0.39,0
44,65487.25,15758.77,24,1,1000.0,33,7,0.241,1
46,40301.79,12273.05,0,0,13907.67,15,7,0.305,0
45,47917.85,29432.9,0,1,1000.0,5,9,0.614,0
61,64070.76,0.0,18,1,20379.46,7,12,0.0,1
49,79491.69,9541.57,5,1,23260.2,23,13,0.12,1
35,87467.93,6297.44,17,1,39089.55,2,3,0.072,1
21,24261.04,17191.11,9,1,21447.62,3,7,0.709,0
45,60355.02,15771.45,27,2,32528.3,31,6,0.261,1
27,84189.87,31221.93,10,1,27006.04,0,10,0.371,0
29,21293.78,34511.42,0,1,14777.02,33,7,1.621,0
44,61287.67,7269.17,0,2,3092.47,8,7,0.119,1
21,54958.32,15005.0,12,1,23300.03,11,10,0.273,1
64,63290.84,16963.04,4,2,2094.78,9,5,0.268,0
28,39553.92,7021.86,19,0,35542.48,9,9,0.178,1
44,26287.62,21283.82,0,1,18055.25,22,7,0.81,0
31,16737.87,12604.93,19,0,34342.13,5,7,0.753,0
37,74527.68,4323.65,2,1,14237.43,23,12,0.058,1
28,77080.98,12204.32,17,2,23226.21,23,14,0.158,1
55,61053.71,5023.25,8,0,22512.19,20,3,0.082,1
55,44317.03,25366.47,13,1,19459.47,30,1,0.572,0
53,22539.08,34015.59,26,2,14808.09,29,14,1.509,0
25,66266.91,17448.19,16,1,24709.47,33,14,0.263,1
62,32984.41,16112.77,22,2,8886.04,17,5,0.488,0
59,40774.03,16524.35,13,1,5486.78,11,8,0.405,1
61,43268.72,26822.34,28,1,34913.92,34,5,0.62,0
48,51049.3,26606.99,3,1,28726.02,6,10,0.521,0
27,39819.19,13843.46,4,0,20790.7,24,3,0.348,1
29,55669.18,17525.9,25,0,39981.71,5,9,0.315,1
28,42563.63,21526.46,20,0,16786.81,0,2,0.506,1
32,69027.46,3623.13,16,0,35872.44,15,3,0.052,1
54,75621.26,27126.08,21,2,22106.89,3,12,0.359,1
53,57170.85,32348.32,28,0,7702.99,28,4,0.566,1
43,64252.53,26650.32,24,2,42176.48,27,10,0.415,0
44,97357.12,2544.06,1,0,31888.53,21,1,0.026,1
57,31547.93,0.0,22,0,18547.75,7,11,0.0,1
55,30330.64,22087.19,21,0,28726.06,31,4,0.728,0
64,68899.96,7398.11,4,0,15155.56,32,4,0.107,1
60,93930.86,17871.33,3,1,29949.79,12,9,0.19,1
42,49790.03,30351.49,3,1,1000.0,26,8,0.61,0
47,89536.68,8430.45,5,3,7762.38,17,2,0.094,1
55,56928.67,11224.45,19,1,31751.12,17,13,0.197,1
21,41382.25,17767.23,20,2,17004.13,12,7,0.429,0
55,35186.15,2024.9,12,2,22490.51,21,6,0.058,1
57,67588.27,7421.44,21,0,3838.57,13,7,0.11,1
34,36700.82,15248.58,4,0,42174.4,10,11,0.415,0
23,56625.54,11995.45,22,1,34286.36,21,4,0.212,1
21,86669.3,21084.08,24,1,17591.78,16,14,0.243,1
25,48864.39,42659.8,25,1,15143.65,31,14,0.873,0
46,81280.19,15991.38,22,1,32355.25,13,5,0.197,1
34,30709.13,6582.88,6,2,43789.65,28,6,0.214,0
59,44321.82,29182.4,19,0,31445.12,5,9,0.658,0
47,26857.12,0.0,0,2,46061.63,3,2,0.0,0
29,56459.94,1110.92,13,2,8931.78,10,11,0.02,1
35,70601.56,9048.97,23,0,10167.36,9,9,0.128,1
35,56503.74,12171.13,3,1,5732.71,27,10,0.215,1
46,79541.0,8809.27,16,1,25301.13,10,1,0.111,1
62,40016.42,14684.88,20,1,22107.24,34,4,0.367,1
33,59506.86,17747.42,13,1,18176.59,14,12,0.298,1
52,44450.61,25689.6,15,0,29711.1,7,5,0.578,0
59,62233.53,15911.88,13,0,34787.94,19,9,0.256,1
52,65074.72,9380.54,15,0,1692.05,20,6,0.144,1
24,66647.92,25146.45,23,0,12836.34,0,4,0.377,1
50,33588.11,6822.85,19,0,29841.72,28,2,0.203,1
57,37205.08,0.0,28,1,14387.14,23,5,0.0,1
43,40914.25,27059.56,27,1,10421.53,29,8,0.661,0
59,50222.39,26418.53,7,1,32222.45,34,8,0.526,0
35,56743.73,7077.02,23,0,4526.0,32,6,0.125,1
63,69161.78,11009.01,2,1,16381.04,19,11,0.159,1
49,38038.03,5830.72,24,3,23943.73,15,1,0.153,1
56,22979.61,18266.24,18,1,13114.16,8,8,0.795,0
33,98114.86,32320.49,0,1,29397.87,30,4,0.329,1
52,32370.94,22028.82,1,0,13173.48,16,14,0.681,0
27,71726.47,25357.25,14,1,36903.43,30,2,0.354,1
42,55625.34,23197.28,21,1,18491.04,22,1,0.417,1
48,60026.11,14998.81,27,1,28055.24,5,7,0.25,1
22,54968.99,25833.4,9,1,28952.29,29,2,0.47,0
62,47303.16,22450.31,17,1,12469.52,6,13,0.475,0
26,64279.45,29394.46,21,2,1000.0,10,4,0.457,0
48,46228.26,10404.51,13,2,24329.07,33,4,0.225,0
48,78326.05,0.0,16,1,20867.46,11,13,0.0,1
64,66368.82,25452.51,26,2,26669.91,26,10,0.384,0
64,66991.88,18497.7,12,0,17281.67,11,1,0.276,1
40,44857.54,12039.54,0,1,14834.87,12,2,0.268,0
50,50272.91,12598.47,4,1,44101.68,7,1,0.251,0
31,31241.74,40546.86,25,2,2331.75,15,6,1.298,0
48,47939.68,8578.05,12,2,28807.41,28,13,0.179,1
45,34268.48,6466.97,26,0,13104.78,34,3,0.189,1
59,81261.37,15852.84,24,0,15970.66,28,1,0.195,1
53,56010.72,26804.91,13,0,16194.77,30,12,0.479,0
21,58409.94,37784.02,23,1,10358.79,12,8,0.647,0
47,50497.07,21573.65,2,0,26854.69,11,14,0.427,0
33,58951.58,2295.91,14,1,36687.72,1,12,0.039,1
61,104297.55,34708.64,18,1,25640.16,32,14,0.333,1
23,48997.19,14805.31,16,0,21240.58,7,4,0.302,1
59,41991.74,6622.91,29,1,8162.71,31,10,0.158,1
26,65593.86,4206.08,2,3,26201.9,27,7,0.064,1
28,15000.0,23363.29,15,3,45876.2,14,10,1.558,0
47,56279.14,17388.29,13,0,15431.66,22,2,0.309,1
29,47565.74,18450.75,11,0,15488.2,23,6,0.388,0
57,35153.73,27865.03,27,1,13266.93,12,6,0.793,0
53,65155.15,6978.45,11,1,14127.03,20,7,0.107,1
62,56079.77,28661.55,28,1,1000.0,11,12,0.511,1
64,18951.82,9808.43,10,1,24860.42,12,1,0.518,0
44,42069.41,36640.07,16,1,9853.37,22,14,0.871,0
35,15000.0,20987.39,7,3,1000.0,27,12,1.399,0
52,60865.39,5797.61,16,1,29038.28,13,1,0.095,1
52,60665.99,0.0,20,1,7015.79,16,2,0.0,1
44,39134.36,23089.25,24,3,15935.97,23,14,0.59,0
61,65802.25,11258.2,22,0,37597.31,33,11,0.171,1
32,29350.03,13444.34,19,0,3089.41,21,2,0.458,1
59,35669.66,22661.96,10,1,1608.82,9,5,0.635,0
22,63343.81,25104.14,24,0,23231.67,7,1,0.396,1
23,41226.66,27237.1,24,1,33793.85,20,11,0.661,0
57,53746.86,3251.59,1,0,1107.9,6,2,0.06,1
37,43727.02,29258.95,9,0,24892.28,25,6,0.669,0
22,46781.38,9209.55,9,0,26971.99,12,3,0.197,1
22,47655.52,0.0,10,3,1000.0,15,4,0.0,1
48,40864.86,3215.6,27,0,29582.02,29,1,0.079,1
43,61048.99,17180.25,5,2,30519.27,30,5,0.281,1
57,42441.43,5211.86,3,4,16258.57,4,4,0.123,0
52,55313.73,14119.56,23,0,35028.16,31,8,0.255,1
53,40425.37,18382.52,11,1,33637.47,15,3,0.455,0
21,24314.03,13186.15,10,2,21237.42,8,10,0.542,0
39,73248.7,10056.46,22,2,14582.66,21,1,0.137,1
22,64990.54,2493.04,22,1,8326.07,13,14,0.038,1
64,100773.64,15219.44,26,0,19549.24,15,13,0.151,1
46,34120.54,0.0,25,1,26837.11,19,10,0.0,1
52,50820.79,8140.02,24,0,16109.88,14,5,0.16,1
26,52429.85,5722.16,12,0,1000.0,25,14,0.109,1
52,74787.39,12606.23,4,2,35224.57,8,1,0.169,1
24,44857.84,12866.7,5,2,22282.68,0,11,0.287,0
31,31579.16,24599.57,0,2,15444.51,34,5,0.779,0
37,79156.19,30834.77,5,1,30285.9,19,9,0.39,0
58,48667.0,3822.21,17,1,38295.66,5,5,0.079,1
44,72572.87,34928.33,21,2,1000.0,9,2,0.481,1
25,70243.97,7207.04,8,0,25211.16,32,13,0.103,1
54,54402.19,16725.27,23,2,2880.21,15,2,0.307,1
26,51513.73,20108.63,24,1,25989.33,5,10,0.39,1
42,47168.7,39445.83,28,3,21535.13,18,9,0.836,0
31,54696.14,9577.18,14,1,27628.72,30,12,0.175,1
36,72262.0,0.0,25,2,14009.03,1,14,0.0,1
53,39071.2,29903.79,7,2,1000.0,17,5,0.765,0
29,57176.91,6666.26,18,1,14595.58,27,11,0.117,1
26,32627.37,11384.11,23,0,24882.17,3,8,0.349,1
36,35117.88,3822.5,15,1,32184.71,0,10,0.109,1
49,54381.22,11412.96,5,0,5938.02,15,4,0.21,1
23,15796.84,6596.08,28,1,32324.73,1,2,0.418,0
40,96211.17,21764.42,5,2,12225.53,0,4,0.226,1
56,31138.8,15807.92,21,0,24349.4,22,12,0.508,1
39,54198.23,8189.45,2,2,13881.27,25,11,0.151,1
46,78364.35,24958.72,9,1,22186.05,10,4,0.318,0
23,37741.89,17549.97,0,1,30702.53,0,11,0.465,0
39,15000.0,0.0,27,0,5275.83,10,9,0.0,1
40,46101.08,24197.03,13,0,11841.13,23,10,0.525,1
52,37503.59,16848.68,3,3,22219.55,9,11,0.449,0
27,15000.0,28907.32,25,1,48819.0,13,6,1.927,0
61,60697.8,16239.17,11,1,9641.72,13,10,0.268,1
53,59141.88,7082.91,5,1,44481.61,6,6,0.12,1
60,77846.53,12957.05,10,1,44053.08,22,5,0.166,1
59,32583.55,23039.19,11,1,18832.27,21,6,0.707,0
38,23017.27,7292.63,9,1,16422.17,26,1,0.317,1
60,46865.54,10597.03,17,1,11695.22,1,13,0.226,1
21,53233.15,12783.11,6,1,19181.57,18,5,0.24,1
31,73426.99,3506.28,6,3,3119.37,6,12,0.048,1
48,83211.36,7436.77,10,2,19085.13,11,6,0.089,1
45,79289.58,16725.5,3,1,37962.56,2,8,0.211,1
43,60530.87,27024.78,19,0,12666.98,4,4,0.446,1
51,70989.99,18171.47,0,0,17111.31,7,14,0.256,1
50,42190.13,14541.39,12,0,1000.0,13,5,0.345,1
62,58367.9,6687.29,17,4,24488.75,6,4,0.115,1
55,31174.2,25951.6,8,3,23173.78,6,7,0.832,0
27,56253.71,19335.05,25,3,20764.43,31,10,0.344,1
36,56772.93,7932.7,23,0,17398.08,7,6,0.14,1
46,89442.57,23986.48,23,1,16486.9,11,14,0.268,1
22,50420.34,20595.77,8,3,26022.8,9,4,0.408,0
21,56800.86,6864.7,22,2,19654.2,13,6,0.121,1
32,59739.23,13986.22,28,2,23779.66,8,13,0.234,1
25,45903.59,10072.27,8,1,22579.79,29,4,0.219,1
57,38950.15,41335.38,9,2,33481.13,4,12,1.061,0
52,80976.23,20317.45,27,0,28123.93,0,8,0.251,1
29,35381.65,16867.62,1,1,22314.34,0,11,0.477,0
61,28441.64,19726.63,5,0,38221.06,19,3,0.694,0
55,68605.31,28791.63,14,1,25043.22,10,8,0.42,0
39,78156.3,14166.2,2,1,35659.55,25,13,0.181,1
36,45971.81,9100.91,10,1,27283.31,2,2,0.198,0
23,46278.93,23442.83,5,0,1000.0,5,6,0.507,0
40,60650.87,13250.55,2,0,35658.02,10,8,0.218,1
44,40842.95,4301.05,23,2,21622.11,7,1,0.105,1
53,39365.75,2353.14,10,3,19376.54,28,6,0.06,1
44,72591.85,30292.97,14,1,23376.18,9,9,0.417,0
31,67142.62,16316.45,12,2,15860.2,33,13,0.243,1
28,81223.18,9104.33,19,0,22724.35,23,10,0.112,1
56,29948.22,12656.65,27,0,12897.49,16,10,0.423,1
58,44950.75,23074.45,9,2,35291.27,31,2,0.513,0
60,60623.59,12065.94,5,1,18636.94,10,11,0.199,1
40,36487.58,505.8,14,1,15408.99,33,13,0.014,1
55,67833.75,18258.41,24,1,8900.89,23,1,0.269,1
45,79492.54,27083.48,17,2,23225.31,4,2,0.341,1
55,43332.84,26414.64,17,2,22245.29,28,5,0.61,0
45,55771.84,9406.7,6,1,24661.1,33,6,0.169,1
49,84112.37,27691.73,14,3,7672.98,15,1,0.329,1
38,90985.43,17129.5,17,1,1000.0,24,7,0.188,1
38,69916.03,27411.47,17,1,27507.1,7,11,0.392,1
22,66868.58,20736.87,19,0,37815.7,28,4,0.31,1
55,37925.27,0.0,8,1,7683.76,24,9,0.0,1
36,62184.19,32467.39,23,0,39073.3,22,6,0.522,0
61,66136.42,15517.84,1,3,23406.93,33,9,0.235,1
56,50792.6,20767.94,7,1,19915.25,2,1,0.409,0
53,43104.47,1559.55,19,0,15229.42,29,4,0.036,1
24,29374.05,20053.27,1,1,3385.78,33,2,0.683,0
53,20245.4,26029.28,10,0,31852.74,31,6,1.286,0
34,16042.33,34353.2,25,0,10692.72,28,4,2.141,0
41,66588.85,29004.0,6,0,10642.32,8,9,0.436,0
40,57953.99,20542.25,5,0,31903.12,1,14,0.354,1
28,45323.78,0.0,29,1,1000.0,6,3,0.0,1
27,48370.87,16322.73,9,0,1716.83,4,1,0.337,1
23,59209.41,9074.9,4,0,19782.39,7,11,0.153,1
37,51708.74,17349.78,10,2,23519.41,31,13,0.336,0
53,28188.94,2836.74,0,2,25816.82,17,11,0.101,0
32,73260.0,12898.33,1,0,16378.42,17,1,0.176,1
42,61082.52,9828.17,23,1,50364.44,15,12,0.161,1
42,60317.97,9518.34,0,1,17265.29,20,9,0.158,1
50,71751.25,9617.64,18,1,17230.57,9,9,0.134,1
58,38727.09,13641.45,1,0,10436.16,3,5,0.352,0
58,79274.63,17861.95,20,2,21486.88,7,2,0.225,1
28,52199.14,0.0,19,1,27379.53,18,9,0.0,1
47,72771.98,0.0,28,0,34442.94,8,13,0.0,1
47,69688.98,11613.09,22,0,2128.59,29,12,0.167,1
54,34223.96,13022.31,20,1,17048.06,16,13,0.381,1
41,65058.01,16891.11,23,0,25360.44,14,8,0.26,1
50,61525.49,7723.28,3,1,27044.69,3,13,0.126,1
53,55606.23,15094.65,11,1,20078.58,5,11,0.271,1
48,53112.56,16265.23,21,1,26509.09,15,10,0.306,1
53,53282.14,7654.42,19,1,10292.43,25,10,0.144,1
25,71253.79,25134.56,17,2,38694.87,22,6,0.353,0
39,66558.21,16769.86,0,0,31911.54,12,7,0.252,1
24,55609.58,20469.61,29,2,3860.87,16,12,0.368,1
55,25161.28,15688.46,29,1,7098.76,26,6,0.624,1
37,64888.87,36036.73,0,2,7436.94,21,5,0.555,0
64,69472.27,20963.97,23,2,28135.64,18,4,0.302,0
48,101008.2,10120.07,13,0,4583.27,34,7,0.1,1
50,76508.66,23209.67,3,3,16027.71,12,4,0.303,0
49,17016.47,0.0,4,0,25456.45,13,10,0.0,1
26,56568.59,16196.0,10,2,19206.01,30,10,0.286,1
55,91227.5,18191.6,23,1,23106.65,1,10,0.199,1
61,67470.98,16310.21,27,1,7210.37,13,9,0.242,1
57,61573.04,11662.21,22,5,27138.25,8,5,0.189,0
44,73004.57,4877.27,12,1,12641.46,9,8,0.067,1
49,42552.44,7106.53,15,1,16104.56,6,12,0.167,1
51,64561.8,16020.75,23,3,22852.78,27,13,0.248,1
55,49990.64,3864.81,12,0,21236.94,24,12,0.077,1
53,54607.53,32701.68,23,1,20287.76,27,12,0.599,0
41,71569.09,0.0,21,1,10992.48,1,6,0.0,1
52,36465.74,11765.62,25,1,16405.41,16,4,0.323,1
43,80759.65,16103.9,1,2,20026.2,3,12,0.199,1
53,46543.76,20074.21,15,0,3498.98,12,3,0.431,1
23,60213.26,5840.75,5,0,14449.6,17,11,0.097,1
38,26989.84,26342.95,13,2,24652.16,2,6,0.976,0
45,69396.75,1061.69,0,1,4670.76,32,1,0.015,1
62,83930.08,9338.71,16,1,33878.98,23,2,0.111,1
51,44707.17,21207.48,10,2,35235.36,7,7,0.474,0
23,32795.53,25401.89,18,1,5058.19,34,4,0.775,0
60,60559.66,959.99,2,2,36291.44,1,5,0.016,1
44,84096.21,41450.37,10,0,18277.02,32,11,0.493,1
52,26002.87,6025.08,28,3,25022.17,11,10,0.232,0
42,32873.84,1878.18,4,0,14040.19,21,1,0.057,1
43,45916.21,20027.15,16,3,31076.54,12,2,0.436,0
22,38593.12,11517.07,25,0,24873.13,9,4,0.298,1
47,38656.29,10039.48,21,2,10230.16,16,8,0.26,0
62,15000.0,20956.44,6,1,6017.58,4,10,1.397,0
22,66781.14,0.0,9,0,2476.37,8,4,0.0,1
46,61774.41,0.0,27,0,22255.3,12,14,0.0,1
37,21023.02,9025.77,28,0,26869.66,22,3,0.429,1
60,84143.92,25779.02,10,1,27811.59,29,3,0.306,1
53,88621.85,9459.45,2,1,18584.23,3,12,0.107,1
29,39981.89,30991.57,19,0,6116.04,20,5,0.775,0
63,78330.97,27010.15,9,0,11815.1,8,3,0.345,1
59,43540.04,17829.46,26,1,33828.18,6,8,0.409,1
49,58622.33,18397.24,9,0,14184.46,15,5,0.314,1
62,38284.76,17820.03,13,3,21721.01,22,12,0.465,0
46,99285.03,16597.18,11,0,7092.19,22,14,0.167,1
55,49079.66,11337.58,14,1,24039.0,30,12,0.231,1
45,57528.98,12498.12,9,1,14507.79,4,14,0.217,0
44,41241.25,4300.4,29,1,32560.55,5,7,0.104,1
33,92226.31,0.0,9,3,29282.69,0,11,0.0,1
27,92732.29,26040.71,25,2,14051.53,27,8,0.281,1
56,87618.58,16572.58,18,3,18480.03,17,5,0.189,1
40,74128.81,15062.11,0,2,13386.61,23,8,0.203,1
21,42504.21,18984.49,23,1,2966.8,12,12,0.447,1
28,71557.0,6716.03,28,3,9710.69,32,3,0.094,1
36,54859.14,4989.38,25,0,22378.61,9,14,0.091,1
34,81248.17,12163.15,9,2,23903.11,6,12,0.15,1
32,77318.04,28680.98,1,0,21782.57,31,7,0.371,1
43,42014.69,3312.59,16,2,16379.2,21,8,0.079,1
35,73956.52,0.0,29,1,31196.8,15,7,0.0,1
48,68640.69,9785.99,23,1,20762.5,23,14,0.143,1
54,15000.0,26427.0,6,0,28439.05,13,2,1.762,0
22,71018.73,0.0,6,1,1000.0,10,8,0.0,1
52,46364.08,3197.16,19,0,1000.0,18,6,0.069,1
43,37279.15,17635.47,26,1,23405.46,22,10,0.473,1
42,38134.79,40699.07,8,2,2902.81,33,3,1.067,0
45,52295.14,1417.88,21,1,17450.58,12,4,0.027,1
42,64601.19,1030.66,1,0,16374.84,27,7,0.016,1
42,27690.76,18386.98,13,1,39048.81,15,3,0.664,0
62,58796.96,27046.74,16,2,24799.96,27,1,0.46,0
26,66535.16,8759.01,0,0,21990.31,3,6,0.132,1
35,92236.12,0.0,8,0,30043.89,27,3,0.0,1
63,33466.2,19337.49,19,1,24421.97,11,11,0.578,0
57,48007.76,21148.41,20,1,14507.88,15,10,0.441,1
53,60233.26,32786.55,18,2,32857.71,19,6,0.544,0
28,77948.19,21569.47,3,2,6683.0,25,10,0.277,0
64,48915.52,23280.66,27,1,23878.97,25,12,0.476,1
64,78972.83,12378.55,7,1,1429.16,21,3,0.157,1
25,16252.75,39415.04,12,4,22447.33,8,6,2.425,0
59,29933.04,11018.58,3,3,22315.88,4,11,0.368,0
24,61972.89,8880.78,8,2,40117.46,16,4,0.143,1
26,26783.51,33095.15,8,1,1220.31,33,13,1.236,0
52,31510.59,257.63,21,0,12789.35,1,4,0.008,1
50,44444.46,0.0,17,0,29872.19,6,10,0.0,1
55,70428.78,16195.57,11,1,24023.81,12,10,0.23,1
60,17080.7,14982.63,9,2,22163.66,19,11,0.877,0
36,58405.97,12721.12,10,1,8526.37,29,2,0.218,1
33,75659.28,24939.3,6,0,12910.18,29,14,0.33,1
62,51101.1,5917.94,8,3,34940.49,10,4,0.116,1
50,47623.4,15641.67,5,1,19381.89,30,11,0.328,1
39,63035.43,11398.94,18,0,24504.32,2,12,0.181,1
37,51157.78,6087.81,15,0,18617.74,1,4,0.119,1
39,82810.0,14381.6,29,0,5802.97,2,11,0.174,1
48,32771.74,23525.96,14,1,31205.73,14,7,0.718,0
46,53967.12,36205.68,6,2,26038.79,16,5,0.671,0
57,59113.73,20794.19,15,0,47667.64,6,8,0.352,1
46,47430.92,0.0,4,1,7813.02,4,7,0.0,1
43,15000.0,14618.6,15,2,29870.88,33,10,0.975,0
29,51781.9,15498.03,0,1,4261.47,32,9,0.299,1
32,73003.54,24362.09,18,1,21888.16,15,8,0.334,1
21,70562.18,16848.1,4,0,31718.08,2,9,0.239,0
21,62095.57,27530.89,6,0,1000.0,20,1,0.443,1
54,33042.75,18916.71,18,1,17540.81,7,10,0.572,0
52,62906.19,30587.98,21,0,13241.48,21,13,0.486,1
45,43531.24,10612.54,4,3,11576.51,4,12,0.244,0
60,62069.66,16443.43,28,2,24622.55,16,3,0.265,1
21,57430.1,23266.42,16,2,33448.23,13,5,0.405,0
36,35472.49,9278.06,25,0,18400.66,27,9,0.262,1
59,37150.88,7099.87,21,1,22465.84,30,8,0.191,1
25,62100.45,8706.48,29,3,21371.71,16,14,0.14,1
42,50577.74,7507.84,7,0,20021.64,34,10,0.148,1
49,38194.37,20225.62,28,2,6927.89,21,7,0.53,0
23,36543.4,0.0,28,1,33301.34,28,2,0.0,1
32,48923.38,0.0,0,0,23542.34,9,11,0.0,1
46,86362.1,33627.46,1,0,24738.58,17,6,0.389,0
36,44478.44,7749.03,29,0,10321.88,34,4,0.174,1
57,54719.61,17000.15,14,0,14489.36,15,5,0.311,1
42,57032.89,108.54,19,1,17886.39,6,14,0.002,1
49,32379.47,15941.24,27,2,1590.5,29,5,0.492,1
34,19743.35,7809.93,17,3,1000.0,18,13,0.396,0
48,34467.19,0.0,10,0,12791.02,22,4,0.0,1
25,59941.55,28369.2,24,4,26270.25,7,4,0.473,0
50,56746.62,26825.66,9,1,12162.35,16,4,0.473,0
25,69048.13,13926.45,23,0,7774.34,20,11,0.202,1
32,56935.0,24994.19,23,1,10223.77,25,2,0.439,0
36,52809.01,34032.93,3,2,14535.89,27,1,0.644,0
46,42919.75,22540.76,4,3,15753.69,32,12,0.525,0
46,72692.14,19796.8,3,1,45986.26,18,2,0.272,0
41,36616.4,16989.5,12,1,32655.45,28,7,0.464,0
59,32792.01,21494.97,24,1,32297.29,19,12,0.655,0
56,66341.11,11360.81,12,1,34022.96,19,1,0.171,1
53,28336.85,12233.64,17,2,8014.15,9,6,0.432,0
50,103295.82,19508.91,28,0,5331.62,11,4,0.189,1
